,UID,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
146,UID00146,19,1,7,5,0,0,79,38,1,0,3,4,35
147,UID00147,25,1,18,0,0,0,15,6,42,0,4,30,16
148,UID00148,0,54,32,38,43,6,0,0,0,6,1,0,3
149,UID00149,0,51,31,39,49,2,2,0,0,6,4,0,3
150,UID00150,0,99,39,50,13,4,2,0,0,2,2,0,3
151,UID00151,0,90,39,42,11,5,3,0,1,8,0,0,6
152,UID00152,0,18,38,90,9,0,2,0,0,2,2,0,1
153,UID00153,0,64,32,53,11,6,2,0,0,5,2,0,1
154,UID00154,0,123,29,66,7,1,2,0,1,4,1,0,6
155,UID00155,50,34,33,19,14,6,5,0,0,0,2,0,1
156,UID00156,120,4,0,0,0,0,15,0,12,0,5,17,3
157,UID00157,21,0,4,0,0,0,92,32,7,0,5,3,25
158,UID00158,26,2,19,7,0,0,19,5,40,0,6,38,18
159,UID00159,0,18,30,105,8,2,0,0,0,0,0,0,0
160,UID00160,27,0,16,6,0,0,21,4,47,0,7,38,21
161,UID00161,23,1,6,2,1,0,29,3,21,0,23,15,56
162,UID00162,0,72,18,12,15,52,0,0,0,0,0,0,0
163,UID00163,9,0,3,8,0,0,42,0,29,0,2,2,122
164,UID00164,0,82,21,5,7,53,0,0,0,0,4,0,0
165,UID00165,18,0,25,1,0,0,29,3,44,0,9,42,14
166,UID00166,21,0,6,4,0,0,94,28,5,0,6,10,26
167,UID00167,0,28,95,29,2,2,1,0,0,9,0,8,3
168,UID00168,0,24,39,111,3,2,2,0,0,2,0,0,0
169,UID00169,0,45,38,32,42,4,1,0,0,3,2,0,3
170,UID00170,140,7,1,0,0,0,12,2,10,0,5,13,5
171,UID00171,115,4,0,0,0,0,20,1,13,0,3,12,4
172,UID00172,27,1,3,8,23,0,28,1,14,0,22,11,29
173,UID00173,66,18,30,22,8,3,1,0,0,0,3,0,1
174,UID00174,33,0,3,23,1,0,11,5,10,0,13,20,70
175,UID00175,26,1,11,4,20,0,26,5,15,0,10,13,39
176,UID00176,27,1,19,3,0,0,27,6,55,0,16,44,25
177,UID00177,0,147,34,76,6,3,2,0,1,5,1,0,4
178,UID00178,0,13,41,20,11,5,18,0,1,41,3,0,0
179,UID00179,17,2,3,0,0,0,90,36,5,0,3,4,32
180,UID00180,16,0,10,3,0,0,91,34,2,0,4,6,16
181,UID00181,27,0,15,5,0,0,32,5,47,0,9,35,23
182,UID00182,0,42,22,35,34,2,1,0,0,3,1,0,1
183,UID00183,23,1,6,5,0,0,93,29,4,0,7,8,25
184,UID00184,44,3,2,0,0,0,36,6,20,0,16,18,49
185,UID00185,0,66,37,34,33,9,2,0,0,3,2,0,3
186,UID00186,67,21,27,19,11,10,3,0,0,0,1,0,2
187,UID00187,34,2,7,6,21,0,35,6,18,0,11,7,32
188,UID00188,23,18,4,4,2,20,23,6,10,0,50,7,24
189,UID00189,29,2,23,2,0,0,22,2,46,0,7,34,17
190,UID00190,0,10,29,19,13,9,17,2,0,43,1,1,0
191,UID00191,21,0,5,2,0,0,89,33,4,0,10,2,41
192,UID00192,15,1,8,2,0,0,34,3,32,0,15,8,59
193,UID00193,0,24,25,106,10,0,1,0,0,3,1,0,5
194,UID00194,18,1,6,1,0,0,30,5,27,0,19,12,66
195,UID00195,13,12,2,1,0,18,20,6,13,0,45,7,17
196,UID00196,0,32,92,25,5,8,0,0,2,2,0,7,1
197,UID00197,28,0,9,5,14,0,33,7,13,0,17,14,33
198,UID00198,26,0,5,25,0,0,13,8,14,0,11,14,63
199,UID00199,24,0,5,20,1,0,15,7,16,0,13,15,71
200,UID00200,0,40,72,31,3,7,1,0,0,8,0,5,0
201,UID00201,137,5,1,0,0,0,12,1,11,0,13,12,7
202,UID00202,63,24,39,29,15,4,2,0,0,0,3,1,4
203,UID00203,26,0,2,20,0,0,13,4,7,0,13,11,76
204,UID00204,25,1,5,0,0,0,103,36,4,0,6,4,17
205,UID00205,21,3,2,1,1,0,29,6,16,0,12,11,53
206,UID00206,16,0,9,22,1,0,9,6,16,0,10,18,72
207,UID00207,0,134,27,64,11,4,3,0,2,6,0,0,4
208,UID00208,0,37,72,27,5,6,1,0,1,4,0,8,3
209,UID00209,19,0,17,4,1,0,19,3,51,0,11,53,18
210,UID00210,10,10,4,5,0,16,29,11,11,0,53,4,30
211,UID00211,0,27,93,21,4,2,0,0,3,6,0,9,1
212,UID00212,29,0,5,22,0,0,10,8,14,0,23,12,63
213,UID00213,0,63,24,6,10,54,0,0,0,0,3,0,0
214,UID00214,20,2,2,1,1,0,30,3,27,0,9,7,62
215,UID00215,17,1,7,4,0,0,74,35,5,0,6,7,26
216,UID00216,0,11,26,20,10,11,25,0,0,51,2,0,0
217,UID00217,26,2,5,1,0,0,73,39,1,0,6,4,29
218,UID00218,14,16,4,2,1,18,23,2,14,0,51,8,30
219,UID00219,0,62,21,4,16,66,0,0,0,0,3,1,0
220,UID00220,25,1,4,6,13,0,27,4,18,0,18,12,29
221,UID00221,140,2,2,0,0,0,7,1,9,0,10,15,2
222,UID00222,0,51,23,32,41,5,1,0,2,4,1,0,2
223,UID00223,0,35,32,114,10,1,2,0,1,1,0,0,1
224,UID00224,23,1,4,6,15,0,30,5,15,0,16,14,33
225,UID00225,0,34,77,25,3,10,0,0,1,7,0,4,0
226,UID00226,0,30,75,28,7,2,1,0,3,2,0,7,1
227,UID00227,22,1,10,6,0,0,70,37,3,0,7,9,25
228,UID00228,0,54,20,4,11,69,0,0,0,0,5,0,0
229,UID00229,0,66,25,7,24,59,0,0,0,0,6,0,0
230,UID00230,0,27,94,22,3,2,0,0,1,6,0,4,0
231,UID00231,0,11,38,23,14,8,28,1,0,49,0,0,0
232,UID00232,0,24,33,89,9,1,2,0,1,1,0,0,2
233,UID00233,0,29,92,20,5,3,0,0,1,7,0,6,2
234,UID00234,0,33,26,35,41,7,0,0,0,4,2,0,1
235,UID00235,22,2,5,3,0,0,94,35,10,0,10,4,19
236,UID00236,0,30,34,113,14,0,1,0,0,0,1,0,3
237,UID00237,122,4,1,0,0,0,12,1,11,0,13,17,2
238,UID00238,21,0,0,23,0,0,8,6,14,0,14,9,81
239,UID00239,0,58,23,13,9,70,0,0,0,0,6,1,0
240,UID00240,0,124,36,73,5,2,0,0,1,6,0,0,3
241,UID00241,18,14,2,3,2,22,21,10,10,0,50,8,27
242,UID00242,0,34,88,21,2,4,2,0,4,3,0,4,1
243,UID00243,0,25,29,106,7,0,1,0,1,0,3,0,1
244,UID00244,0,23,37,18,9,5,29,2,1,46,2,0,0
245,UID00245,22,0,5,22,0,0,14,9,13,0,13,20,71
246,UID00246,19,0,4,35,1,0,10,9,14,0,10,10,69
247,UID00247,24,1,4,2,1,0,36,3,31,0,12,13,42
248,UID00248,10,1,1,4,0,0,42,1,28,0,2,2,126
249,UID00249,27,0,3,9,17,0,32,4,11,0,16,11,35
250,UID00250,24,0,7,25,0,0,14,4,13,0,11,11,68
251,UID00251,22,1,5,0,0,0,102,32,9,0,3,11,28
252,UID00252,15,1,5,0,0,0,82,40,7,0,3,6,27
253,UID00253,17,1,8,27,0,0,14,8,15,0,17,14,55
254,UID00254,14,15,4,3,1,20,22,7,10,0,39,10,29
255,UID00255,0,74,35,50,20,11,2,0,0,7,1,0,3
256,UID00256,0,30,32,141,11,0,3,0,0,1,1,0,1
257,UID00257,30,1,9,5,0,0,26,4,34,0,10,43,14
258,UID00258,31,0,10,0,0,0,38,5,22,0,20,11,33
259,UID00259,0,110,36,67,8,1,2,0,2,6,1,0,2
260,UID00260,0,28,78,22,5,2,2,0,2,6,0,3,5
261,UID00261,0,17,34,127,6,0,2,0,1,2,1,0,1
262,UID00262,35,2,8,4,0,0,30,3,18,0,15,13,66
263,UID00263,0,16,35,23,14,3,21,1,0,61,0,0,0
264,UID00264,0,12,25,19,13,8,12,1,0,44,1,0,0
265,UID00265,66,22,31,20,8,8,0,0,1,0,2,1,1
266,UID00266,0,64,22,6,12,59,0,0,0,0,3,2,0
267,UID00267,16,0,2,25,0,0,7,3,13,0,15,29,75
268,UID00268,0,64,14,9,19,58,0,0,0,0,2,1,0
269,UID00269,0,31,29,108,2,0,4,0,2,0,3,0,0
270,UID00270,59,18,42,23,7,5,3,0,2,0,0,0,3
271,UID00271,33,1,7,0,0,0,32,7,12,0,16,18,61
272,UID00272,17,20,5,3,0,15,26,4,5,0,45,10,29
273,UID00273,0,40,82,26,4,2,1,0,1,6,0,10,2
274,UID00274,24,0,4,17,2,0,7,8,15,0,13,14,72
275,UID00275,0,32,25,32,44,4,0,0,1,5,0,0,3
276,UID00276,0,24,77,19,4,3,1,0,1,5,0,6,4
277,UID00277,26,2,3,26,0,0,10,3,10,0,12,5,70
278,UID00278,21,1,4,2,0,0,88,32,3,0,6,5,20
279,UID00279,0,54,29,44,34,11,1,0,1,5,0,0,2
280,UID00280,27,3,4,1,13,0,28,4,18,0,26,10,36
281,UID00281,0,20,30,105,10,0,2,0,1,0,1,0,3
282,UID00282,0,31,86,25,2,5,2,0,2,8,0,4,5
283,UID00283,0,75,40,44,15,7,1,0,1,10,0,0,2
284,UID00284,0,57,33,46,40,4,0,0,2,3,2,0,3
285,UID00285,34,1,21,6,1,0,36,4,43,0,7,35,16
286,UID00286,48,22,43,19,19,6,3,0,1,0,0,0,0
287,UID00287,60,21,40,22,15,7,2,0,0,0,1,0,3
288,UID00288,54,18,35,27,8,5,3,0,0,0,2,0,2
289,UID00289,72,21,34,25,10,4,2,0,1,0,1,0,1
290,UID00290,10,0,2,4,0,0,23,1,18,0,4,5,65
291,UID00291,12,16,3,4,1,15,26,5,12,0,54,8,33
292,UID00292,0,122,1,36,2,0,0,0,0,0,0,0,2
293,UID00293,0,51,35,44,44,4,1,0,0,4,0,0,2
294,UID00294,16,0,4,0,0,0,34,4,19,0,9,9,42
295,UID00295,25,1,5,1,1,0,25,7,19,0,21,11,52
296,UID00296,16,14,3,5,0,24,20,4,18,0,52,9,38
297,UID00297,0,26,28,22,9,6,25,0,1,40,1,1,1
298,UID00298,0,79,41,40,7,4,3,0,1,9,3,0,3
299,UID00299,0,39,24,40,47,5,0,0,1,4,1,0,1
300,UID00300,0,16,35,125,11,0,1,0,0,0,2,0,4
301,UID00301,0,20,30,125,4,1,0,0,0,0,3,0,2
302,UID00302,71,20,56,21,7,3,1,0,0,0,1,0,3
303,UID00303,135,2,3,0,0,0,14,1,11,0,7,13,2
304,UID00304,0,17,23,111,8,2,2,0,1,1,3,0,2
305,UID00305,54,29,40,15,10,5,2,0,1,0,3,2,2
306,UID00306,0,23,19,88,3,0,1,0,0,1,1,0,6
307,UID00307,23,2,5,4,16,0,29,1,15,0,20,14,36
308,UID00308,0,81,26,44,15,3,1,0,1,6,1,0,1
309,UID00309,0,76,18,9,13,70,0,0,0,0,3,2,0
310,UID00310,0,16,31,123,8,0,1,0,0,2,0,0,0
311,UID00311,0,99,35,39,7,6,1,0,2,9,0,0,3
312,UID00312,128,3,0,0,0,0,15,1,16,0,5,13,1
313,UID00313,0,26,96,24,5,3,1,0,2,3,0,7,1
314,UID00314,0,45,27,32,41,7,0,0,1,4,2,0,4
315,UID00315,0,28,79,23,1,5,0,0,1,2,0,11,5
316,UID00316,22,2,17,6,0,0,26,6,49,0,14,30,12
317,UID00317,0,20,28,108,7,3,1,0,1,1,2,0,1
318,UID00318,131,6,2,0,0,0,13,1,20,0,4,12,2
319,UID00319,0,64,9,7,9,56,0,0,0,0,1,1,0
320,UID00320,24,3,2,3,19,0,18,5,19,0,18,12,19
321,UID00321,0,64,34,46,8,2,1,0,1,5,0,1,4
322,UID00322,22,2,16,6,0,0,19,6,41,0,12,38,27
323,UID00323,53,27,48,23,14,10,2,0,1,0,2,0,3
324,UID00324,0,74,14,6,9,50,0,0,1,0,3,0,0
325,UID00325,18,12,1,4,1,16,23,6,16,0,58,7,23
326,UID00326,0,29,32,109,8,0,0,0,1,0,2,0,0
327,UID00327,17,1,9,1,0,0,74,24,3,0,7,6,18
328,UID00328,0,47,28,38,45,6,0,0,0,3,5,0,4
329,UID00329,0,23,39,124,3,2,0,0,0,1,1,0,1
330,UID00330,25,3,5,2,1,0,28,5,26,0,19,17,48
331,UID00331,32,5,4,2,2,0,23,5,28,0,20,21,46
332,UID00332,17,1,15,2,0,0,17,10,44,0,12,49,22
333,UID00333,24,2,11,4,12,0,29,7,19,0,25,12,37
334,UID00334,149,4,2,0,0,0,15,0,10,0,13,14,3
335,UID00335,30,2,26,4,0,0,16,2,48,0,12,48,25
336,UID00336,0,52,26,38,37,6,2,0,1,1,0,0,4
337,UID00337,8,1,2,2,0,0,48,1,31,0,0,3,119
338,UID00338,108,6,2,0,0,0,11,1,17,0,13,11,2
339,UID00339,66,26,31,15,12,5,4,0,0,0,4,0,2
340,UID00340,0,69,25,10,16,66,0,0,0,0,5,0,0
341,UID00341,129,3,1,0,0,0,16,0,12,0,5,11,5
342,UID00342,26,0,21,6,1,0,22,6,41,0,7,30,22
343,UID00343,0,95,35,48,11,4,5,0,2,8,4,1,3
344,UID00344,25,2,7,0,0,0,94,35,4,0,5,9,23
345,UID00345,17,9,3,6,1,17,29,6,13,0,56,7,27
346,UID00346,152,2,0,0,0,0,13,1,16,0,6,9,4
347,UID00347,8,16,4,3,0,21,17,9,7,0,70,9,20
348,UID00348,58,20,44,17,13,7,5,0,0,0,1,0,2
349,UID00349,15,0,2,0,0,0,32,1,12,0,10,3,69
350,UID00350,156,2,2,0,0,0,18,1,13,0,9,17,6
351,UID00351,29,2,5,4,23,0,28,6,18,0,16,10,38
352,UID00352,125,3,1,0,0,0,13,1,19,0,6,17,6
353,UID00353,31,2,5,2,14,0,23,4,25,0,16,13,31
354,UID00354,0,54,33,46,39,7,1,0,0,1,2,0,2
355,UID00355,0,62,33,42,6,6,2,0,1,10,1,0,1
356,UID00356,32,1,5,5,0,0,33,1,20,0,14,10,56
357,UID00357,14,26,3,2,0,15,24,6,13,0,44,8,20
358,UID00358,35,1,8,3,1,0,44,4,24,0,16,16,48
359,UID00359,0,18,32,113,13,0,4,0,0,0,0,0,0
360,UID00360,0,28,27,116,9,1,3,0,0,0,0,0,1
361,UID00361,0,23,33,126,7,1,1,0,0,2,1,0,1
362,UID00362,31,0,10,24,0,0,9,4,15,0,15,12,66
363,UID00363,16,0,3,23,0,0,12,3,14,0,12,24,86
364,UID00364,0,70,32,42,11,7,1,0,0,4,3,1,2
365,UID00365,130,3,0,0,0,0,13,3,15,0,4,13,6
366,UID00366,28,3,7,0,1,0,33,7,11,0,13,17,71
367,UID00367,25,0,2,5,0,0,98,39,2,0,7,5,26
368,UID00368,0,77,37,50,10,3,0,0,4,8,0,0,3
369,UID00369,0,17,36,108,7,2,2,0,0,2,1,0,0
370,UID00370,21,0,3,21,3,0,9,6,14,0,20,10,57
371,UID00371,0,86,42,47,11,4,1,0,0,11,1,0,1
372,UID00372,0,78,24,12,12,66,0,0,0,0,3,1,0
373,UID00373,23,2,10,1,0,0,28,5,46,0,10,44,22
374,UID00374,0,27,81,16,9,2,0,0,1,3,0,6,0
375,UID00375,18,12,3,2,1,17,19,7,12,0,42,4,20
376,UID00376,19,0,6,21,0,0,12,8,16,0,10,12,78
377,UID00377,0,21,84,29,8,4,2,0,2,4,0,6,3
378,UID00378,25,2,10,9,21,0,23,3,14,0,12,11,33
379,UID00379,28,0,6,1,0,0,88,31,6,0,6,5,19
380,UID00380,24,1,7,27,0,0,11,5,9,0,9,10,60
381,UID00381,0,22,25,114,4,2,0,0,2,1,4,0,5
382,UID00382,0,145,33,62,4,4,2,0,1,3,1,1,5
383,UID00383,23,3,6,2,1,0,28,6,21,0,10,17,55
384,UID00384,65,23,28,26,11,7,1,0,0,0,0,1,2
385,UID00385,21,1,6,2,0,0,33,4,25,0,17,8,53
386,UID00386,14,9,2,1,0,23,27,6,20,0,54,7,23
387,UID00387,0,61,20,7,9,63,0,0,0,0,5,0,0
388,UID00388,0,8,36,19,9,5,19,2,0,55,1,0,0
389,UID00389,0,20,39,23,14,5,16,1,0,49,0,0,1
390,UID00390,0,19,34,105,4,1,3,0,0,1,2,0,3
391,UID00391,37,1,11,7,16,0,25,2,8,0,26,9,43
392,UID00392,15,16,4,6,0,11,23,5,13,0,44,6,30
393,UID00393,0,76,30,36,12,5,0,0,1,10,2,0,2
394,UID00394,0,62,10,9,16,57,0,0,0,0,5,2,0
395,UID00395,10,1,2,0,0,0,26,0,22,0,15,4,57
396,UID00396,0,32,78,25,5,4,1,0,1,5,0,10,1
397,UID00397,18,13,6,5,0,26,28,3,12,0,45,6,30
398,UID00398,17,1,15,0,0,0,14,10,44,0,9,42,13
399,UID00399,20,0,4,2,0,0,95,31,7,0,6,8,27
400,UID00400,27,0,5,18,1,0,8,10,9,0,9,12,78
401,UID00401,22,0,6,23,1,0,11,7,17,0,10,14,81
402,UID00402,0,151,3,34,1,3,0,0,0,2,0,0,3
403,UID00403,19,0,3,18,1,0,6,8,17,0,8,9,69
404,UID00404,36,3,5,5,0,0,35,5,19,0,11,14,51
405,UID00405,0,132,24,54,7,4,1,0,1,1,0,1,4
406,UID00406,0,132,33,70,7,3,3,0,2,7,0,0,2
407,UID00407,65,16,29,18,13,7,0,0,0,0,2,0,3
408,UID00408,29,1,6,2,1,0,31,7,21,0,11,17,36
409,UID00409,63,21,34,23,9,5,1,0,3,0,2,0,1
410,UID00410,26,0,9,4,0,0,88,31,2,0,8,5,19
411,UID00411,0,72,16,7,7,59,0,0,0,0,9,1,0
412,UID00412,0,14,27,23,13,2,12,2,0,53,0,0,0
413,UID00413,22,0,5,4,0,0,93,41,6,0,5,5,22
414,UID00414,22,0,1,1,0,0,28,0,15,0,8,7,86
415,UID00415,19,19,0,3,2,15,20,4,17,0,47,5,33
416,UID00416,0,36,84,23,6,5,0,0,0,2,0,7,0
417,UID00417,0,21,29,21,8,4,19,1,0,58,1,0,0
418,UID00418,25,1,5,22,1,0,6,8,9,0,15,18,79
419,UID00419,30,4,5,0,1,0,43,6,18,0,22,7,40
420,UID00420,0,27,29,108,8,0,2,0,0,0,1,0,0
